Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2023-02-05,1,21427867.4,3946223.7,-9.6,74,5.2,100,1.9,4.3,-13.8,-13.4
2023-02-06,2,17999135.1,4017706.3,-8,76,9.4,31,0.1,11.07,-12.7,-11.6
2023-02-07,3,18726223.4,4114150.7,-6.3,75,11.2,71,1.2,6.8,-11.1,-10.2
2023-02-08,4,16233513.2,3775693.4,1.2,76,12.1,56,0.2,8.32,-3,-2.7
2023-02-09,5,17337218.3,3874994.7,-2,92,11.3,93,20.5,2.63,-6.2,-3.1
2023-02-10,6,16663733.2,3772892.4,2.2,81,17.3,99,4.5,5.52,-2.5,-0.8
2023-02-11,7,17814992,3566939,-4,71,13.8,33,0.2,12.01,-9.1,-8.5
2023-02-12,1,17521040.4,3351484.7,-1.4,78,7.6,11,0,11.67,-5.3,-4.8
2023-02-13,2,16168139.8,3647151.5,-0.9,78,7.9,65,0.1,10.93,-4.7,-4.4
2023-02-14,3,15191880.7,3585417.6,0.7,79,9.1,41,0,11.87,-3.1,-2.6
2023-02-15,4,15521226.2,3593657.9,4.2,76,14.2,97,5.5,4.59,0.1,0.1
2023-02-16,5,15893106.6,3668792.5,0.8,72,13,94,2.1,10.2,-3.7,-3.7
2023-02-17,6,17909282.8,3881503.2,-7.6,75,13.9,66,12.9,4.94,-13,-11.3
2023-02-18,7,19367415.3,3698469.4,-7.4,73,11.5,80,0,8.6,-12.4,-11.7
2023-02-19,1,17309570.7,3325303.6,0.5,72,12.1,91,0,8.28,-4,-4.4
2023-02-20,2,16842627.7,3225484,-0.4,72,13.4,67,0.5,11.1,-5.1,-5
2023-02-21,3,17892631.1,3967200.1,-10.1,77,10.6,74,1.5,7.4,-15.2,-13.5
2023-02-22,4,18470094.3,4076840,-10.7,64,9.2,92,0.5,11.23,-15.7,-16.4
2023-02-23,5,19729449.7,4180971,-10.3,74,13.3,100,8.5,4.69,-15.8,-14.1
2023-02-24,6,19375612.2,4218737.5,-13.8,67,11.5,37,0.1,13.83,-19.2,-19
2023-02-25,7,21703563.2,4080355,-17.4,72,5.7,73,0.7,8.92,-22.1,-21.4
2023-02-26,1,20096935.6,3723403.6,-10.4,76,9.3,82,3.9,9.04,-15.2,-14
2023-02-27,2,18468256,4012705.7,-7.8,70,10.9,62,0,12.89,-12.9,-12.6
2023-02-28,3,18099973.3,3946559.6,-4.3,83,14.9,90,12.1,2.51,-9.4,-6.8
