Date,Day of the week,Daily CI Total Consumption,Daily Residential Total Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m?),apparent_temperature_mean (ÁC),dew_point_2m_mean (ÁC)
2022-04-19,3,1234136.7,12885067.6,3.4,78,23.3,91,3,16.08,-2.1,-0.2
2022-04-20,4,1201834,12000880.1,4.2,66,16,58,0,22.09,-0.3,-1.8
2022-04-21,5,1202346.4,11966301.9,9.2,71,20.9,74,4.5,10.56,4.8,3.8
2022-04-22,6,1175131.9,11279217.8,6.8,70,12.4,55,0,24.59,3.4,1.5
2022-04-23,7,1137250.4,12463234,5.9,75,20.9,68,1,12.06,1.1,1.8
2022-04-24,1,1046315.5,11983532.5,9.2,79,16.6,98,0,24.13,6.1,5.7
2022-04-25,2,1105363.7,11002104.6,13.2,90,8.9,99,12.5,13.1,12.5,11.5
2022-04-26,3,1149628.2,11367076.4,7.6,75,13.7,76,1.7,10.31,4.1,3.2
2022-04-27,4,1222523.5,12422834.5,1.6,61,18.5,88,1.5,13.79,-3.9,-5.4
2022-04-28,5,1216060,12050353,3.2,46,16,3,0,27.8,-1.8,-8.2
2022-04-29,6,1186255.1,11482530.2,5.7,50,12.8,12,0,27.58,1.7,-4.2
2022-04-30,7,1108426.2,11712151.1,7.1,48,9.1,70,0,26.41,3.6,-3.4
2022-05-01,1,1061518.8,12749981.5,7,71,19.2,100,7.2,9.85,2.5,1.9
2022-05-02,2,1118438.2,11550785.4,10.3,87,9.7,98,1.3,8.19,8.3,8
2022-05-03,3,1139447,11273652.2,9.4,91,11.7,100,12.7,12.15,7.2,7.9
2022-05-04,4,1143842.8,10876104.2,11.9,75,19.7,66,18.3,17.01,8.4,7.3
2022-05-05,5,1134354,10653988.8,9.4,64,9,88,0,24.62,6.7,2.7
2022-05-06,6,1136941.1,10697450.4,9.8,64,15.4,100,0,18.6,6.1,3.4
2022-05-07,7,1081072.5,11227298.2,9.3,50,16.8,34,0,28.75,5.1,-1
2022-05-08,1,1011606.2,11328097.3,8.9,56,12.9,3,0,28.9,5.4,0.4
2022-05-09,2,1080172,10643251.6,10.5,58,13.3,67,0,28.62,7.4,2.3
2022-05-10,3,1101734.8,10371073.7,12.4,54,12.5,60,0,27.64,9.4,3.1
2022-05-11,4,1131532.9,10566169,13.7,61,8.5,49,0,27.37,11.9,6.1
2022-05-12,5,1167340,11075884.6,15.4,52,8.7,57,0,28.08,13.5,5.3
2022-05-13,6,1223918.1,12056610,16.6,68,8.7,50,0,26.99,16.2,10.6
2022-05-14,7,1217360.1,14231794.6,16.6,85,6.4,33,0,26,17.4,14.1
2022-05-15,1,1178323.7,16212632.5,18,84,7.3,78,0,24.11,19,15.1
2022-05-16,2,1133040.7,12112189.2,14.6,72,14.9,77,3.8,11.45,12.4,9.5
2022-05-17,3,1095925.2,10535919.8,12.1,57,20.6,51,0.2,17.21,7.6,3.6
2022-05-18,4,1091396.9,10523353,9.5,70,9.1,78,0,15.54,6.8,4.1
2022-05-19,5,1115196.4,10620088.1,11.9,84,8.6,83,3.4,16.86,10.6,9.2
2022-05-20,6,1156115.5,10989721,16.6,85,15.3,90,0.1,23.24,15.9,13.9
2022-05-21,7,1139649.9,12915837,22.2,75,17,81,1.6,22.72,22.6,17.4
2022-05-22,1,988055,11275143,14.5,72,12.2,97,1,11.65,12.5,9.2
2022-05-23,2,932714.3,11052881.6,10.8,65,10,90,0,23.09,8.2,4.4
2022-05-24,3,1084120,10548336,11.9,71,9.6,63,0,27.16,10,6.5
2022-05-25,4,1099478,10526606.8,13.4,68,18.1,100,0.3,22.24,10.3,7.5
2022-05-26,5,1174754.1,11473953.9,18.3,77,18.7,100,0,19.73,17.1,14.2
2022-05-27,6,1196323.2,12052621.1,17.7,89,13.9,91,10.2,16.14,17.7,15.8
2022-05-28,7,1119098.8,12086125.2,16.6,76,12.5,86,2.1,23.59,15.6,11.9
2022-05-29,1,1077006.8,13356745.1,16.1,72,8.6,42,0,26.58,15.6,10.9
2022-05-30,2,1244396.2,15394606.6,20.5,73,12.8,80,0,27.97,20.7,15.1
2022-05-31,3,1402665,19325847.6,23.4,68,14.8,58,0.1,26.4,24,16.9
2022-06-01,4,1326744,16069754.4,19.7,85,9.6,86,21.8,14.36,21,17.1
2022-06-02,5,1184621.6,11644013.2,14.9,62,10.9,74,0,17.87,12.9,7.5
2022-06-03,6,1181121,11481809.7,15.6,70,12.9,16,0.1,26.33,14,9.8
2022-06-04,7,1087331.8,11412542.6,14.2,49,15,9,0,30.15,10.9,3.2
2022-06-05,1,1034543.2,12016554,14.9,56,10.2,63,0,21.17,12.7,6
2022-06-06,2,1086389.1,11242292.6,15.5,78,14.2,98,14.5,15.11,13.9,11.5
2022-06-07,3,1130159.6,11301473.7,16.6,87,15.5,83,33.2,10.3,15.9,14.4
2022-06-08,4,1150760.8,11254410.3,15.8,74,10.9,49,0.6,24.97,14.9,11
2022-06-09,5,1150608.8,11201051,16.5,72,12.7,72,6,16.99,15,11
2022-06-10,6,1176205.8,11437698.6,16.7,62,14,18,0.5,26.06,14.6,8.9
2022-06-11,7,1129782.2,12256903.5,16.8,73,9.9,50,0,25.87,16.3,11.9
2022-06-12,1,1070603.8,12974506,18.2,81,11.8,86,2.1,19.09,18.1,14.7
2022-06-13,2,1133306.6,11949563.1,16.1,72,10.5,44,0,28.54,15.2,10.8
2022-06-14,3,1232148.6,13423640.4,18.9,68,7,39,0,29.05,19.3,12.8
2022-06-15,4,1255369.3,13553287.8,18.4,80,12.4,53,0,18.3,18.2,14.9
2022-06-16,5,1438677.1,18491635.4,23.9,75,14.8,38,2.8,26.26,25.3,18.6
2022-06-17,6,1362994.5,16139514.3,21.1,53,23.6,16,0,28.26,18.3,11
2022-06-18,7,1103781.4,11603524.4,14.4,48,24.9,17,0,31.09,9.7,3.2
2022-06-19,1,1017348.9,11469671.9,15.1,44,13.6,52,0,29.22,11.7,1.7
2022-06-20,2,1121830.5,11575671.8,17.5,54,12.6,78,0,24.95,15.6,7.9
2022-06-21,3,1317203.3,16166636.2,21.3,78,12.3,59,2,28.58,22.6,17.2
2022-06-22,4,1491170.2,21357525.4,25.4,69,12.5,43,0,27.62,27.4,18.9
2022-06-23,5,1408976.1,17879318,21.2,56,13.5,3,0,29.29,20.3,11.7
2022-06-24,6,1378667.2,16683886.8,20,56,11.1,16,0,29.73,19.1,10.7
2022-06-25,7,1360578.7,19114955,20.7,72,8.1,55,0,28.08,21.7,15.3
2022-06-26,1,1271349.2,18865708.2,21.3,78,10.1,85,12.4,18.01,22.5,17.2
2022-06-27,2,1199426.5,13391956,18.4,54,18.3,66,0.2,19.01,15.5,8.8
2022-06-28,3,1191644.3,12074484.2,16.4,62,14,8,0,29.77,14.6,8.8
2022-06-29,4,1202633.5,12076832.8,17.2,75,8.3,71,16.3,18.69,17.1,12.8
2022-06-30,5,1275282.6,13441776.1,18.8,73,10,69,0,27.51,19,13.6
2022-07-01,6,1180720.4,15762748.8,23,68,12.3,98,0.8,17.16,23.8,16.7
2022-07-02,7,1226610.6,15637452.1,20.5,53,13.4,29,0.4,27.3,18.9,10.1
2022-07-03,1,1136401.7,14918497.8,18.5,58,11.4,17,0,29.28,17.2,9.8
2022-07-04,2,1229837.1,14286592.7,18.7,66,8.5,54,0,23.88,18.4,12
2022-07-05,3,1269969.3,13921895,20.6,86,10.3,80,12.4,13.4,22.2,18.2
2022-07-06,4,1266090.7,13580743.4,19.2,81,9,73,1.2,17.2,19.9,15.8
2022-07-07,5,1312641.8,14707769.1,19.4,74,7.8,16,0,28.14,20.2,14.5
2022-07-08,6,1339687.9,15359864.5,20.3,70,8.3,70,0.8,22.06,20.9,14.6
2022-07-09,7,1191455.5,13747263.2,17.5,62,11.6,0,0,29.75,16.4,10.1
2022-07-10,1,1160460.2,15235472.1,19.2,60,10.8,23,0,28.73,18.4,10.9
2022-07-11,2,1306871.4,16778583.5,21.2,59,15.8,51,0.2,26.44,20,12.5
2022-07-12,3,1379011.6,17652269.3,22.7,68,18.4,41,3.4,25.77,22.4,16
2022-07-13,4,1298556.5,14206213.8,18.9,75,7.5,48,0.9,16.37,19.3,14.2
2022-07-14,5,1303314.8,14321572.7,19.7,66,9,29,0.1,24.93,19.5,12.5
2022-07-15,6,1331011.8,15075860,19.9,59,9.4,48,0,27.36,19.3,11.2
2022-07-16,7,1324447.2,17645005.6,22.4,65,6.6,26,0,28.78,23.5,14.8
2022-07-17,1,1263263.1,18544242.5,22,67,8.5,100,0,24.52,22.9,15.4
2022-07-18,2,1344769.9,17373819.8,21.9,83,13,76,31.2,13.95,23.3,18.8
2022-07-19,3,1507016,21765588.7,24.7,68,12.8,45,0.4,23.34,26.1,18.1
2022-07-20,4,1563754,23628905.5,25.1,74,16.9,63,14.1,22.2,26.6,20
2022-07-21,5,1537811.1,21649642.7,24.6,67,19.4,20,0.4,24.78,24.6,17.3
2022-07-22,6,1530088.1,21257764.2,23.4,65,7.8,21,0,24.35,24.6,16.1
2022-07-23,7,1470393.8,22352661.3,25.3,64,14.7,54,0,24,26.3,17.9
2022-07-24,1,1323051.9,20026333,23.7,80,17.9,91,6.9,11.76,24.9,19.9
2022-07-25,2,1277418.4,15121764,20.6,61,18,24,0,24.13,19.1,12.5
2022-07-26,3,1264774.7,13485235.2,19,69,9.5,72,0,18.92,18.6,13
2022-07-27,4,1327500.7,15075060.4,20.7,77,8.3,76,0.1,19.84,21.8,16.3
2022-07-28,5,1405584.8,17042530,23.1,70,13.9,45,0.9,20.73,23.5,16.5
2022-07-29,6,1359456.8,15799132.9,21.3,59,14.1,18,0,21.7,20,12.1
2022-07-30,7,1259254.3,15555278.7,20.4,65,14,36,0.2,19.9,19.5,13.4
2022-07-31,1,1217325.4,16645854.8,20.9,72,10.5,35,0,23.77,21.3,15.2
2022-08-01,2,1203400.7,17579611.1,21.9,76,13.6,48,5.5,22.9,22.7,17.3
2022-08-02,3,1345070.9,16737994,21.4,70,13.9,38,0,21.95,21.4,15.3
2022-08-03,4,1358182.1,16025756.7,21.1,73,13,85,0.2,20.34,21.4,15.9
2022-08-04,5,1426072.2,17535460.7,23.3,86,12.5,100,3.4,13,25.8,20.9
2022-08-05,6,1448916.1,18679619.4,22.8,83,7.3,69,0.4,23.62,25.8,19.7
2022-08-06,7,1460201,22154689.6,24.5,81,10.9,25,0,24.45,27.4,20.7
2022-08-07,1,1436739.6,24864287.7,25.7,80,14.7,78,0.3,21.25,28.4,21.7
2022-08-08,2,1493620.1,22227231.9,24.8,83,16.9,91,2.1,12.58,27.1,21.6
2022-08-09,3,1314636.9,14730388.9,20.3,69,13.3,82,0.1,12.07,19.8,14.2
2022-08-10,4,1341670.1,15299561.2,20.3,71,8.2,29,0,24.98,20.9,14.6
2022-08-11,5,1327785.7,15188250.5,20.6,55,17,14,0.1,24.92,18.7,10.7
2022-08-12,6,1289875,13652051.7,19.4,50,11.6,0,0,26.43,17.5,7.3
2022-08-13,7,1203919,13701901.8,19,51,9.5,40,0,26.11,17.6,8.1
2022-08-14,1,1167579.3,15238096.7,20.1,59,10.4,27,0,24.21,19.3,11.3
2022-08-15,2,1279325.8,15624451.4,21.5,54,11.2,71,0,22.95,20.5,11.3
2022-08-16,3,1344748.3,16344353.7,21.7,56,8.9,45,0,21.69,21.3,12
2022-08-17,4,1357090.4,15854317.4,20.3,71,8.7,88,0.1,17.45,20.6,14.5
2022-08-18,5,1393741.2,16665213.9,20.8,71,8.6,73,2.3,20.19,21.2,14.8
2022-08-19,6,1402891.6,16730217,20.8,75,7.4,27,0,20.9,21.9,15.9
2022-08-20,7,1370282.9,18611682.4,22.5,70,7.5,51,0,22.05,23.8,16.3
2022-08-21,1,1250423.4,17595778.2,21.6,85,8.3,99,21.7,15.71,23.8,18.9
2022-08-22,2,1286237.6,15396808,19.9,92,8.2,100,18.5,8.55,21.8,18.5
2022-08-23,3,1360030.1,16775254.2,22.2,69,11.4,62,0.7,19.99,22.7,15.5
2022-08-24,4,1385673.6,16995333.5,21.1,72,10,21,2.5,20.42,21.9,15.8
2022-08-25,5,1336195.1,14958101.3,19.9,87,10.5,67,6.5,16.5,21.1,17.5
